"datetime";"shape";"duration";"lat";"long"
"";"cylinder";2700;29.8831;-97.9411
"";"light";7200;29.3842;-98.5811
"";"circle";20;53.2;-2.91667
"";"circle";20;28.9783;-96.6458
"";"light";900;21.4181;-157.804
"";"sphere";300;36.595;-82.1889
"";"circle";180;51.4347;-3.18
"";"disk";1200;41.1175;-73.4083
"";"disk";180;33.5861;-86.2861
"";"disk";120;30.2947;-82.9842
"";"circle";300;33.9164;-118.352
"";"fireball";180;35.2333;-82.7344
"";"disk";1800;40.6686;-73.5275
"";"unknown";180;37.1536;-83.7619
"";"oval";30;35.8239;-80.2536
"";"circle";1200;36.8431;-83.3219
"";"disk";120;42.5378;-83.2331
"";"disk";1800;41.3253;-72.1936
"";"light";20;32.3642;-64.6786
"";"other";2700;42.3917;-71.5667
"";"disk";1200;51.5;-3.2
"";"light";1200;38.1056;-98.6597
"";"light";360;32.8544;-79.975
"";"oval";60;45.5828;-122.352
"";"cigar";3;51.7833;-0.783333
"";"other";30;29.4239;-98.4933
"";"light";30;38.2542;-85.7594
"";"rectangle";300;40.7008;-73.7133
"";"chevron";900;41.7003;-73.9214
"";"triangle";270;53.9706;-111.69
"";"oval";180;32.7153;-117.156
"";"unknown";1800;38.7583;-104.743
"";"sphere";180;29.7631;-95.3631
"";"unknown";300;32.7833;-96.8
"";"light";300;42.9956;-71.4553
"";"disk";120;-38.6623;178.018
"";"circle";60;29.7631;-95.3631
"";"other";120;44.7631;-85.6206
"";"formation";20;41.0339;-73.7633
"";"triangle";600;53.8;-1.58333
"";"chevron";180;41.5234;-73.6468
"";"triangle";600;43.0389;-87.9064
"";"unknown";120;43.9628;-70.2831
"";"light";60;40.015;-105.27
"";"unknown";2;47.6064;-122.331
"";"disk";300;34.1578;-118.637
"";"triangle";60;46.7164;-122.953
"";"triangle";180;36.7223;-86.5772
"";"triangle";120;31.7058;-83.6533
"";"unknown";1800;35.235;-75.6289
"";"triangle";600;40.2736;-76.8847
"";"formation";3600;30.1586;-85.6603
"";"unknown";10;29.6158;-95.5575
"";"cigar";60;35.8906;-83.7247
"";"unknown";30;32.7592;-97.7969
"";"sphere";1200;55.1833;59.65
"";"light";8;40.6936;-89.5889
"";"other";60;36.2522;-85.9517
"";"cigar";3600;26.1498;-97.9136
"";"rectangle";120;42.9097;-73.8956
"";"light";5;34.1028;-91.9922
"";"sphere";3600;43.6667;-79.4167
"";"";120;43.0389;-87.9064
"";"";60;37.8044;-122.27
"";"triangle";3;39.0725;-93.7169
"";"light";300;-33.0934;151.589
"";"light";300;32.7764;-79.9311
"";"cylinder";60;39.4403;-84.3622
"";"delta";14400;39.6411;-85.1411
"";"sphere";30;33.4222;-111.822
"";"triangle";300;32.5436;-83.5961
"";"other";3600;43.6667;-92.9744
"";"changing";300;34.0983;-118.326
"";"fireball";15;33.4483;-112.073
"";"cylinder";1800;42.0372;-88.2811
"";"cigar";600;36.175;-115.136
"";"circle";2700;36.175;-115.136
"";"triangle";60;40.936;-73.9017
"";"triangle";600;47.6589;-117.425
"";"light";2;35.5847;-80.8103
"";"egg";7200;47.55;-52.6667
"";"fireball";15;35.265;-84.5533
"";"changing";3600;38.0194;-122.133
"";"unknown";600;39.1142;-94.6272
"";"other";10;32.7833;-96.8
"";"fireball";3600;32.7153;-117.156
"";"sphere";45;46.2114;-119.136
"";"circle";90;37.6689;-122.08
"";"light";10800;37.6447;-115.743
"";"sphere";300;41.6917;-97.4842
"";"triangle";120;27.1501;-82.4807
"";"chevron";240;45.565;-117.916
"";"oval";2700;44.8839;-84.3056
"";"oval";180;37.7242;-89.8611
"";"other";10;26.525;-80.0667
"";"cylinder";30;46.2167;-63.4833
"";"triangle";45;43.4055;-88.7051
"";"oval";15;38.627;-90.1994
"";"light";1800;38.1267;-92.0844
"";"light";5;38.9989;-84.6267
"";"unknown";10;47.6064;-122.331
"";"diamond";60;47.5406;-122.635
"";"triangle";240;42.3953;-94.6336
"";"formation";180;-33.8615;151.205
"";"other";300;49.25;-123.133
"";"circle";120;37.6689;-122.08
"";"rectangle";300;41.0042;-92.3736
"";"changing";900;36.7478;-119.771
"";"triangle";60;33.4483;-112.073
"";"triangle";30;36.8528;-75.9783
"";"flash";43;46.0131;-91.4844
"";"unknown";5;44.5403;-123.366
"";"circle";600;-34.9287;138.599
"";"sphere";90;47.6064;-122.331
"";"unknown";120;46.2167;-63.4833
"";"other";1800;39.1619;-84.4569
"";"circle";120;45.5236;-122.675
"";"light";120;41.7939;-86.7439
"";"oval";300;34.0953;-118.126
"";"sphere";1800;39.7683;-86.1581
"";"other";600;38.8403;-77.4292
"";"light";15;42.9897;-116.092
"";"oval";18000;41.7792;-83.5689
"";"formation";37800;33.8075;-78.7011
"";"light";180;35.0844;-106.651
"";"unknown";2700;53.0709;-2.73651
"";"sphere";1800;45.3089;-89.4964
"";"triangle";180;41.0886;-74.1442
"";"other";2700;40.0583;-74.4057
"";"changing";1200;49.9667;-98.3
"";"sphere";5;39.4667;-87.4139
"";"oval";15;39.7683;-86.1581
"";"unknown";300;45.4167;-80.1
"";"circle";10;39.6294;-79.9561
"";"unknown";180;37.8717;-122.272
"";"sphere";3600;41.5094;-90.5786
"";"oval";240;55.2881;23.9577
"";"formation";1200;42.2098;-79.4668
"";"circle";900;42.2669;-79.7108
"";"flash";900;44.295;-93.2686
"";"light";7200;40.7583;-82.5156
"";"light";60;38.9517;-92.3339
"";"sphere";3000;45.3089;-89.4964
"";"other";60;47.6064;-122.331
"";"other";30;33.415;-111.549
"";"oval";1800;25.9328;-80.1628
"";"egg";10;34.0522;-118.243
"";"triangle";300;40.5031;-78.6306
"";"formation";360;52.5167;-3.3
"";"unknown";240;35.4492;-86.7889
"";"other";3600;25.9328;-80.1628
"";"light";1200;47.4158;-120.292
"";"light";600;35.3186;-82.4611
"";"disk";300;46.3581;-94.2006
"";"diamond";3600;31.1911;-95.2353
"";"triangle";600;37.775;-122.418
"";"unknown";10;34.8761;-83.9583
"";"light";600;35.2247;-88.2492
"";"triangle";600;38.0683;-78.8897
"";"fireball";2;35.201;-91.8318
"";"other";360;34.6378;-97.8172
"";"formation";120;50.3964;-4.13861
