datetime,shape,duration (seconds),latitude,longitude 
11/20/13,light,5,70.416667,-148.916667
02/11/11,unknown,1200,64.8377778,-147.7163889
11/11/11,circle,300,64.8377778,-147.7163889
12/24/11,sphere,3600,64.8377778,-147.7163889
02/11/12,light,900,64.8377778,-147.7163889
09/03/12,unknown,120,64.8377778,-147.7163889
10/18/12,light,600,64.8377778,-147.7163889
11/22/12,light,180,64.8377778,-147.7163889
12/25/12,oval,120,64.8377778,-147.7163889
01/19/13,fireball,120,64.8377778,-147.7163889
08/07/13,diamond,60,64.8377778,-147.7163889
09/05/13,disk,300,64.8377778,-147.7163889
09/24/13,circle,120,64.8377778,-147.7163889
09/29/13,light,420,64.8377778,-147.7163889
10/04/13,circle,600,64.8377778,-147.7163889
10/04/13,fireball,180,64.8377778,-147.7163889
10/31/13,diamond,180,64.8377778,-147.7163889
12/10/13,unknown,14,64.8377778,-147.7163889
12/31/13,light,600,64.8377778,-147.7163889
12/31/13,light,120,64.8377778,-147.7163889
01/05/11,triangle,1200,64.7511111,-147.3494444
12/30/11,triangle,480,64.7511111,-147.3494444
10/25/12,light,15,64.7511111,-147.3494444
03/16/13,light,60,64.7511111,-147.3494444
12/09/13,flash,5,64.7511111,-147.3494444
12/12/13,flash,3,64.7511111,-147.3494444
12/23/12,fireball,60,64.133333,-21.933333
01/01/13,triangle,120,64.0377778,-145.7322222
09/20/13,sphere,900,63.816667,-138.666667
01/03/11,light,15,63.6941667,-170.4788889
09/23/12,light,120,63.6941667,-170.4788889
03/27/12,unknown,10,62.766667,-137.383333
01/14/14,,3,62.320905,-150.106622
01/22/14,disk,60,62.278648,12.340171
01/01/10,formation,420,61.7472222,-150.0375
01/01/10,sphere,660,61.7472222,-150.0375
09/07/12,fireball,300,61.7472222,-150.0375
11/07/12,light,120,61.623501,-149.331917
05/21/10,sphere,600,61.5997222,-149.1127778
03/12/12,sphere,40,61.5997222,-149.1127778
02/23/13,light,60,61.5997222,-149.1127778
03/01/13,circle,60,61.5997222,-149.1127778
08/30/13,circle,900,61.5997222,-149.1127778
11/10/13,fireball,1200,61.5997222,-149.1127778
11/18/13,cylinder,1200,61.5997222,-149.1127778
02/21/14,light,300,61.5997222,-149.1127778
12/31/10,sphere,120,61.5813889,-149.4394444
04/04/11,circle,300,61.5813889,-149.4394444
09/11/11,triangle,2,61.5813889,-149.4394444
10/23/11,sphere,1800,61.5813889,-149.4394444
10/23/11,sphere,1800,61.5813889,-149.4394444
09/08/12,sphere,300,61.5813889,-149.4394444
11/15/12,other,1500,61.5813889,-149.4394444
03/16/13,triangle,300,61.5813889,-149.4394444
03/16/13,circle,300,61.5813889,-149.4394444
11/02/13,disk,300,61.5813889,-149.4394444
11/05/13,disk,120,61.5813889,-149.4394444
12/23/13,fireball,10,61.5813889,-149.4394444
03/28/14,changing,3600,61.5813889,-149.4394444
03/31/14,triangle,900,61.5813889,-149.4394444
04/14/14,triangle,60,61.5813889,-149.4394444
06/25/10,,180,61.557297,-149.037895
03/02/14,light,240,61.5422222,-149.0333333
03/15/11,unknown,300,61.5311111,-166.0966667
03/28/14,light,60,61.3888889,-149.4819444
04/28/12,fireball,600,61.3213889,-149.5677778
10/26/12,light,120,61.3213889,-149.5677778
12/31/13,other,360,61.3213889,-149.5677778
01/01/10,light,60,61.2180556,-149.9002778
08/06/10,circle,60,61.2180556,-149.9002778
10/08/10,triangle,900,61.2180556,-149.9002778
12/31/10,light,300,61.2180556,-149.9002778
10/21/11,circle,300,61.2180556,-149.9002778
12/04/11,light,2,61.2180556,-149.9002778
01/01/12,light,90,61.2180556,-149.9002778
01/01/12,sphere,300,61.2180556,-149.9002778
01/22/12,unknown,600,61.2180556,-149.9002778
01/23/12,sphere,120,61.2180556,-149.9002778
03/02/12,light,900,61.2180556,-149.9002778
05/19/12,triangle,120,61.2180556,-149.9002778
07/25/12,other,300,61.2180556,-149.9002778
08/28/12,light,300,61.2180556,-149.9002778
09/29/12,light,3600,61.2180556,-149.9002778
10/02/12,formation,420,61.2180556,-149.9002778
10/12/12,fireball,10,61.2180556,-149.9002778
10/20/12,light,1200,61.2180556,-149.9002778
10/21/12,cylinder,30,61.2180556,-149.9002778
10/27/12,triangle,1800,61.2180556,-149.9002778
10/31/12,light,60,61.2180556,-149.9002778
11/04/12,light,300,61.2180556,-149.9002778
11/14/12,disk,300,61.2180556,-149.9002778
11/25/12,light,5400,61.2180556,-149.9002778
09/21/13,oval,180,61.2180556,-149.9002778
10/05/13,unknown,30,61.2180556,-149.9002778
10/23/13,light,180,61.2180556,-149.9002778
10/23/13,circle,900,61.2180556,-149.9002778
12/10/13,light,180,61.2180556,-149.9002778
12/11/13,fireball,2,61.2180556,-149.9002778
12/14/13,flash,2,61.2180556,-149.9002778
12/19/13,circle,300,61.2180556,-149.9002778
12/23/13,light,300,61.2180556,-149.9002778
12/23/13,circle,10,61.2180556,-149.9002778
12/26/13,unknown,300,61.2180556,-149.9002778
01/31/14,cylinder,900,61.2180556,-149.9002778
02/19/14,flash,60,61.2180556,-149.9002778
02/21/14,oval,4,61.2180556,-149.9002778
02/23/14,light,600,61.2180556,-149.9002778
03/01/14,light,180,61.2180556,-149.9002778
03/29/14,cigar,15,61.2180556,-149.9002778
04/19/14,flash,300,61.2180556,-149.9002778
05/05/14,,10800,61.2180556,-149.9002778
03/03/12,light,600,60.7922222,-161.7558333
04/06/12,circle,30,60.7922222,-161.7558333
03/03/13,circle,120,60.7922222,-161.7558333
03/28/14,triangle,780,60.7922222,-161.7558333
05/29/10,unknown,360,60.690545,-147.097055
03/25/14,light,600,60.6902778,-151.2888889
09/15/12,light,2700,60.666667,15.766667
04/02/14,oval,60,60.5544444,-151.2583333
04/09/14,light,7200,60.5544444,-151.2583333
07/22/13,,2,60.5372222,-150.7647222
11/02/12,flash,600,60.4877778,-151.0583333
12/22/13,light,1,60.4877778,-151.0583333
04/30/14,diamond,1200,60.293366,25.037733
03/25/14,sphere,1200,60.2311111,-151.3936111
05/21/11,triangle,10,60.205491,24.6559
01/21/10,other,40,60.173324,24.941025
04/29/12,unknown,120,60.173324,24.941025
09/10/12,cigar,60,60.128161,18.643501
03/26/11,light,300,60.1041667,-149.4422222
03/07/11,light,7200,60.0513889,-151.6688889
03/12/14,circle,600,60.0513889,-151.6688889
06/27/11,teardrop,20,59.939637,16.858759
07/21/11,cigar,2,59.913869,10.752245
07/18/12,light,1800,59.6425,-151.5483333
07/18/12,light,1800,59.6425,-151.5483333
11/02/12,flash,1200,59.6425,-151.5483333
12/19/12,fireball,300,59.6425,-151.5483333
09/15/13,,15,59.494638,10.839743
10/15/11,formation,60,59.434091,10.658383
02/10/12,diamond,1800,59.2358333,-135.445
02/24/11,formation,300,59.005735,24.794242
05/31/13,circle,3600,58.969976,5.733107
08/12/13,unknown,120,58.816667,-122.533333
07/07/12,oval,60,58.506489,15.505829
05/11/11,light,1800,58.36258,-134.58119
11/19/10,fireball,60,58.3019444,-134.4197222
01/08/11,light,600,58.3019444,-134.4197222
04/23/12,light,30,58.3019444,-134.4197222
03/21/10,circle,1500,57.866667,-4.033333
07/25/13,triangle,180,57.79,-152.4072222
10/12/13,other,300,57.79,-152.4072222
04/19/14,sphere,60,57.79,-152.4072222
06/05/13,sphere,600,57.5033333,-134.5838889
12/25/12,,600,57.216667,-2.7
06/06/13,changing,1800,57.155623,-2.277129
10/20/10,other,35,57.107118,12.252091
07/06/13,fireball,120,56.949649,24.105186
07/27/11,disk,18,56.733333,-111.383333
08/15/12,other,60,56.663445,16.356779
09/04/10,circle,300,56.65,-2.883333
01/05/10,diamond,120,56.490671,-4.202646
07/30/10,light,180,56.490671,-4.202646
04/30/14,circle,30,56.490671,-4.202646
02/26/11,rectangle,900,56.35,-94.7
04/19/14,other,30,56.25,-3.166667
04/14/11,unknown,45,56.2,-3
02/03/12,cigar,180,56.2,-3
01/09/13,oval,3600,56.166667,-3.75
01/30/11,sphere,60,56.166667,-2.75
11/17/13,light,2,56.151116,-3.854674
01/10/10,triangle,720,56.116667,-5.483333
11/09/13,formation,360,56.116667,-3.166667
04/19/14,cylinder,30,56.083333,-3.466667
08/05/10,circle,120,56,-3.75
04/11/14,light,720,55.865652,-3.066151
08/29/11,formation,120,55.833333,-5.1
06/13/10,light,1200,55.833333,-4.5
01/01/10,fireball,120,55.833333,-4.25
07/03/10,circle,120,55.833333,-4.25
08/10/10,light,1800,55.833333,-4.25
08/14/10,sphere,1800,55.833333,-4.25
12/25/10,sphere,3600,55.833333,-4.25
09/21/12,circle,10,55.833333,-4.25
10/13/12,circle,300,55.833333,-4.25
06/16/13,rectangle,5,55.833333,-4.25
11/22/13,changing,7200,55.833333,-4.25
11/23/13,changing,3600,55.833333,-4.25
05/05/10,rectangle,60,55.833333,-3.083333
06/10/10,changing,240,55.833333,-3.083333
01/01/12,sphere,900,55.833333,-3.083333
06/04/10,diamond,300,55.766667,-4.166667
09/22/10,fireball,480,55.75,-97.866667
06/24/12,circle,300,55.75,-97.866667
10/06/12,light,1800,55.75,-97.866667
04/18/14,other,30,55.744925,-97.850871
08/07/10,fireball,1200,55.733333,-3.966667
02/12/12,circle,300,55.733333,-3.966667
02/19/11,circle,7200,55.651123,12.194711
01/12/13,sphere,21600,55.616667,-3.516667
01/20/10,circle,20,55.611567,-4.669636
05/02/12,fireball,20,55.55,-3.85
12/31/12,light,120,55.55,-3.85
04/27/13,circle,30,55.532712,25.279369
02/21/10,sphere,60,55.5,-4.5
08/27/10,circle,180,55.4763889,-133.1483333
11/17/12,circle,1800,55.45,-4.266667
04/13/14,sphere,180,55.433333,-116.483333
10/14/10,rectangle,60,55.431256,-115.603896
03/03/14,diamond,22,55.4119444,-131.7227778
03/05/11,flash,180,55.376084,-7.798045
11/08/12,light,20,55.3422222,-131.6461111
11/09/12,light,7200,55.3422222,-131.6461111
12/05/13,light,960,55.3422222,-131.6461111
04/11/14,fireball,120,55.3422222,-131.6461111
04/10/10,oval,540,55.316667,-3.45
11/30/11,other,300,55.166667,-118.8
09/27/12,sphere,20,55.166667,-118.8
04/22/14,triangle,4,55.166667,-118.8
05/12/10,other,20,55.1325,-1.585556
06/29/10,light,60,55.125795,-120.993154
07/11/10,cigar,300,55.104155,10.228725
03/01/13,oval,60,55.1,-105.3
05/13/11,oval,900,55.07203,-6.51699
08/22/12,disk,4,55.066667,-114.033333
09/21/12,fireball,420,54.988056,-1.619444
